multi_label_grounded,cases,usable,initial_category_accuracy_pct,initial_expected_category_is_top_pct,initial_exact_scorable,initial_expected_exact_is_top_pct,question_coverage_pct,final_category_accuracy_when_matched_pct,expected_final_category_added_when_matched_pct,final_expected_category_is_top_when_matched_pct,final_exact_scorable_matched,final_exact_accuracy_when_matched_pct,expected_final_exact_added_when_matched_pct,final_expected_exact_is_top_when_matched_pct
False,230,230,76.52,63.04,210,39.05,69.57,78.75,5.0,54.38,151,54.3,8.61,35.76
True,770,770,94.16,82.73,680,59.85,73.12,86.68,1.6,75.49,488,56.97,6.35,25.82
