group,observations,scenarios,initial_expected_category_present_pct,initial_expected_exact_present_pct,initial_any_plausible_exact_present_pct,question_match_coverage_pct,final_expected_category_present_among_matched_pct,final_expected_exact_present_among_matched_pct,expected_final_category_present_initially_pct,expected_final_exact_present_initially_pct,expected_final_category_newly_added_pct_of_matched,expected_final_exact_newly_added_pct_of_matched,expected_final_exact_added_count,expected_final_exact_lost_count,provider_error_count
label_change,182,182,97.8,89.01,94.51,75.27,100.0,93.02,87.36,51.1,6.2,37.21,48,3,0
routing_disambiguation,777,777,92.02,82.5,92.15,72.07,97.43,91.01,75.16,47.88,17.13,38.54,180,5,0
